epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.565,0.94301,4.28881,1.37609,0,0,0,0,0.85936,4.58643,1.31605,9.58222e-05,9.58222e-05,9.58222e-05
2,493.259,0.87307,3.97525,1.34837,0,0,0,0,0.98791,4.23433,1.43755,0.000189985,0.000189985,0.000189985
3,731.041,0.90401,3.64168,1.33919,0.07143,0.02371,0.04781,0.04117,1.06564,3.77736,1.52839,0.000280266,0.000280266,0.000280266
4,950.775,0.92443,3.46484,1.35806,0.13116,0.07978,0.09379,0.06428,1.19642,3.714,1.67263,0.000276536,0.000276536,0.000276536
5,1157.63,0.96641,3.29187,1.37945,0.11541,0.06082,0.07876,0.06115,1.17326,3.66354,1.61032,0.000270715,0.000270715,0.000270715
6,1342.87,0.97437,3.19378,1.39664,0.17027,0.12165,0.14259,0.1049,1.1641,3.55159,1.60696,0.000264894,0.000264894,0.000264894
7,1524.53,0.96604,2.9833,1.37904,0.23563,0.13823,0.1819,0.14795,1.16099,3.52431,1.58631,0.000259073,0.000259073,0.000259073
8,1711.45,0.95036,2.82687,1.35125,0.23805,0.13649,0.18634,0.14888,1.12502,3.47836,1.59344,0.000253252,0.000253252,0.000253252
9,1889.07,0.91012,2.70693,1.33785,0.26485,0.24072,0.24407,0.1897,1.13346,3.30655,1.59913,0.00024743,0.00024743,0.00024743
10,2064.26,0.93293,2.58037,1.32803,0.2407,0.21207,0.22286,0.15959,1.14062,3.33751,1.60975,0.000241609,0.000241609,0.000241609
11,2236.89,0.8866,2.47869,1.29713,0.24107,0.11138,0.17628,0.12323,1.14713,3.29395,1.58288,0.000235788,0.000235788,0.000235788
12,2425.95,0.89814,2.40123,1.30962,0.22296,0.17308,0.20442,0.16066,1.0814,3.3701,1.53571,0.000229967,0.000229967,0.000229967
13,2612.07,0.88515,2.29307,1.28999,0.31856,0.19095,0.26554,0.19868,1.10943,3.16454,1.53763,0.000224146,0.000224146,0.000224146
14,2799.84,0.85333,2.24234,1.28433,0.34602,0.19716,0.26917,0.21296,1.19182,3.22995,1.68202,0.000218324,0.000218324,0.000218324
15,2987.89,0.83946,2.19717,1.26682,0.35964,0.2378,0.31329,0.24233,1.14383,3.01674,1.57412,0.000212503,0.000212503,0.000212503
16,3174.32,0.85202,2.09898,1.26432,0.44392,0.30336,0.37841,0.28721,1.18389,2.90641,1.64297,0.000206682,0.000206682,0.000206682
17,3361.58,0.82953,2.04984,1.24799,0.44486,0.27339,0.35805,0.28934,1.1459,2.99979,1.59485,0.000200861,0.000200861,0.000200861
18,3549.31,0.83029,2.05756,1.26368,0.40219,0.32452,0.35213,0.26339,1.11164,2.95607,1.56217,0.00019504,0.00019504,0.00019504
19,3736.66,0.79547,1.94862,1.2217,0.43853,0.28045,0.37745,0.29525,1.14255,2.94921,1.59451,0.000189218,0.000189218,0.000189218
20,3922.88,0.7799,1.89179,1.22577,0.34386,0.36902,0.36917,0.27568,1.14014,2.76865,1.57423,0.000183397,0.000183397,0.000183397
21,4110.75,0.75168,1.82918,1.21439,0.36889,0.37719,0.38114,0.28463,1.14299,2.83116,1.60572,0.000177576,0.000177576,0.000177576
22,4299.33,0.79114,1.76071,1.21441,0.45903,0.41801,0.45181,0.35421,1.11095,2.79438,1.5469,0.000171755,0.000171755,0.000171755
23,4488.09,0.76712,1.71107,1.20278,0.47467,0.34237,0.43044,0.34033,1.14951,2.89648,1.58498,0.000165934,0.000165934,0.000165934
24,4677.59,0.7566,1.6879,1.20133,0.59446,0.32382,0.48431,0.39288,1.11735,2.93731,1.57282,0.000160112,0.000160112,0.000160112
25,4871.49,0.74568,1.67194,1.20497,0.51539,0.34803,0.45443,0.36189,1.15106,3.11462,1.63443,0.000154291,0.000154291,0.000154291
26,5066.25,0.75813,1.67526,1.20381,0.53332,0.50335,0.5234,0.42292,1.1125,2.68971,1.55197,0.00014847,0.00014847,0.00014847
27,5257.73,0.74603,1.58874,1.19794,0.54287,0.4573,0.517,0.42003,1.11608,2.77157,1.54223,0.000142649,0.000142649,0.000142649
28,5449.6,0.72587,1.55075,1.17688,0.47624,0.37043,0.4437,0.34945,1.13933,2.93154,1.59714,0.000136828,0.000136828,0.000136828
29,5788.31,0.72168,1.5546,1.17561,0.61325,0.35157,0.47477,0.37073,1.15679,2.87089,1.63189,0.000131006,0.000131006,0.000131006
30,5973.55,0.73491,1.49673,1.18179,0.58318,0.41682,0.53071,0.42967,1.12983,2.83386,1.59463,0.000125185,0.000125185,0.000125185
31,6163.14,0.73017,1.52999,1.18315,0.5179,0.38067,0.46761,0.35838,1.12797,2.85777,1.61478,0.000119364,0.000119364,0.000119364
32,6351.32,0.67704,1.43376,1.15182,0.51031,0.39419,0.47735,0.37968,1.12761,2.96903,1.60469,0.000113543,0.000113543,0.000113543
33,6542.78,0.68165,1.40084,1.15333,0.51801,0.43233,0.48565,0.38925,1.12721,2.79218,1.59373,0.000107722,0.000107722,0.000107722
34,6733.85,0.70386,1.37248,1.16626,0.55652,0.40346,0.49097,0.39393,1.12657,2.77748,1.58881,0.0001019,0.0001019,0.0001019
35,30596.4,0.68684,1.36046,1.15007,0.55827,0.38288,0.49678,0.39198,1.1214,2.70466,1.56792,9.60792e-05,9.60792e-05,9.60792e-05
36,30764.8,0.65695,1.36846,1.1432,0.56972,0.45809,0.53388,0.42502,1.11449,2.75206,1.57173,9.0258e-05,9.0258e-05,9.0258e-05
37,30937.5,0.65101,1.31634,1.12745,0.57446,0.43318,0.51924,0.40741,1.11931,2.73593,1.58253,8.44368e-05,8.44368e-05,8.44368e-05
38,31110.8,0.66628,1.32401,1.14277,0.50946,0.43886,0.50779,0.4036,1.11573,2.71883,1.58544,7.86156e-05,7.86156e-05,7.86156e-05
39,31353.8,0.64242,1.27763,1.12831,0.58294,0.40998,0.51154,0.40878,1.11497,2.72847,1.60021,7.27944e-05,7.27944e-05,7.27944e-05
40,31552.3,0.65302,1.30257,1.13589,0.57769,0.43838,0.53066,0.42153,1.09396,2.76396,1.57198,6.69732e-05,6.69732e-05,6.69732e-05
41,31742.8,0.61527,1.60458,1.16574,0.61973,0.37001,0.51602,0.40135,1.16346,3.03443,1.6566,6.1152e-05,6.1152e-05,6.1152e-05
42,31932.4,0.58345,1.42756,1.13753,0.61431,0.37215,0.50085,0.40449,1.1048,2.8673,1.58813,5.53308e-05,5.53308e-05,5.53308e-05
43,32122.9,0.57582,1.35653,1.12988,0.56245,0.42717,0.5201,0.42633,1.11,2.79356,1.58293,4.95096e-05,4.95096e-05,4.95096e-05
44,32315.6,0.5368,1.27414,1.10058,0.58724,0.42495,0.53858,0.43294,1.11856,2.79706,1.57918,4.36884e-05,4.36884e-05,4.36884e-05
45,32507.5,0.53509,1.23764,1.08245,0.6465,0.41182,0.52661,0.42396,1.10484,2.77532,1.57518,3.78672e-05,3.78672e-05,3.78672e-05
46,32699.5,0.53135,1.22378,1.09202,0.67415,0.4419,0.56434,0.44801,1.10514,2.68936,1.57716,3.2046e-05,3.2046e-05,3.2046e-05
47,32892.9,0.53812,1.23858,1.08642,0.54717,0.47836,0.54017,0.4266,1.1111,2.71396,1.58116,2.62248e-05,2.62248e-05,2.62248e-05
48,33084.5,0.5148,1.19652,1.08428,0.5276,0.49745,0.5475,0.43365,1.09312,2.73061,1.56714,2.04036e-05,2.04036e-05,2.04036e-05
49,33277.9,0.52164,1.21302,1.07589,0.51394,0.4901,0.54502,0.42817,1.09674,2.72434,1.57303,1.45824e-05,1.45824e-05,1.45824e-05
50,33469.6,0.50926,1.16569,1.06625,0.52532,0.48574,0.54406,0.43495,1.10825,2.73306,1.58641,8.7612e-06,8.7612e-06,8.7612e-06
